# FULLY FILE-LESS REJECTED ROWS — reference only, NOT acted on (2026-07-21 21:25:55 local)
# These rejected rows have neither original nor thumbnail on disk.
# Original was deleted by design at rejection (scan.py:360); thumbnail also gone.
# Row deletion is a POLICY decision, explicitly OUT of scope. This list is for the record only.
# count=1229
# id	source	review	ident	category	species	never_reject
20013	file_upload	rejected	not_plant	plant	-	0
20014	file_upload	rejected	not_plant	plant	-	0
20015	file_upload	rejected	not_plant	plant	-	0
20016	file_upload	rejected	not_plant	plant	-	0
20017	file_upload	rejected	not_plant	plant	-	0
20018	file_upload	rejected	not_plant	plant	-	0
20019	file_upload	rejected	not_plant	plant	-	0
20020	file_upload	rejected	not_plant	plant	-	0
20021	file_upload	rejected	not_plant	plant	-	0
20022	file_upload	rejected	not_plant	plant	-	0
20023	file_upload	rejected	not_plant	plant	-	0
20024	file_upload	rejected	not_plant	plant	-	0
20025	file_upload	rejected	not_plant	plant	-	0
20026	file_upload	rejected	not_plant	plant	-	0
20027	file_upload	rejected	not_plant	plant	-	0
20028	file_upload	rejected	not_plant	plant	-	0
20030	file_upload	rejected	not_plant	plant	-	0
20031	file_upload	rejected	not_plant	plant	-	0
20032	file_upload	rejected	not_plant	plant	-	0
20033	file_upload	rejected	not_plant	plant	-	0
20034	file_upload	rejected	not_plant	plant	-	0
20035	file_upload	rejected	not_plant	plant	-	0
20036	file_upload	rejected	not_plant	plant	-	0
20037	file_upload	rejected	not_plant	plant	-	0
20038	file_upload	rejected	not_plant	plant	-	0
20039	file_upload	rejected	not_plant	plant	-	0
20040	file_upload	rejected	not_plant	plant	-	0
20041	file_upload	rejected	not_plant	plant	-	0
20042	file_upload	rejected	not_plant	plant	-	0
20043	file_upload	rejected	not_plant	plant	-	0
20044	file_upload	rejected	not_plant	plant	-	0
20045	file_upload	rejected	not_plant	plant	-	0
20046	file_upload	rejected	not_plant	plant	-	0
20047	file_upload	rejected	not_plant	plant	-	0
20049	file_upload	rejected	not_plant	plant	-	0
20050	file_upload	rejected	not_plant	plant	-	0
20051	file_upload	rejected	not_plant	plant	-	0
20052	file_upload	rejected	not_plant	plant	-	0
20053	file_upload	rejected	not_plant	plant	-	0
20054	file_upload	rejected	not_plant	plant	-	0
20055	file_upload	rejected	not_plant	plant	-	0
20056	file_upload	rejected	not_plant	plant	-	0
20057	file_upload	rejected	not_plant	plant	-	0
20058	file_upload	rejected	not_plant	plant	-	0
20060	file_upload	rejected	not_plant	plant	-	0
20061	file_upload	rejected	not_plant	plant	-	0
20062	file_upload	rejected	not_plant	plant	-	0
20063	file_upload	rejected	not_plant	plant	-	0
20064	file_upload	rejected	not_plant	plant	-	0
20065	file_upload	rejected	not_plant	plant	-	0
20066	file_upload	rejected	not_plant	plant	-	0
20067	file_upload	rejected	not_plant	plant	-	0
20070	file_upload	rejected	not_plant	plant	-	0
20071	file_upload	rejected	not_plant	plant	-	0
20072	file_upload	rejected	not_plant	plant	-	0
20073	file_upload	rejected	not_plant	plant	-	0
20074	file_upload	rejected	not_plant	plant	-	0
20076	file_upload	rejected	not_plant	plant	-	0
20077	file_upload	rejected	not_plant	plant	-	0
20078	file_upload	rejected	not_plant	plant	-	0
20079	file_upload	rejected	not_plant	plant	-	0
20080	file_upload	rejected	not_plant	plant	-	0
20081	file_upload	rejected	not_plant	plant	-	0
20082	file_upload	rejected	not_plant	plant	-	0
20083	file_upload	rejected	not_plant	plant	-	0
20084	file_upload	rejected	not_plant	plant	-	0
20085	file_upload	rejected	not_plant	plant	-	0
20086	file_upload	rejected	not_plant	plant	-	0
20087	file_upload	rejected	not_plant	plant	-	0
20088	file_upload	rejected	not_plant	plant	-	0
20089	file_upload	rejected	not_plant	plant	-	0
20090	file_upload	rejected	not_plant	plant	-	0
20091	file_upload	rejected	not_plant	plant	-	0
20093	file_upload	rejected	not_plant	plant	-	0
20094	file_upload	rejected	not_plant	plant	-	0
20095	file_upload	rejected	not_plant	plant	-	0
20096	file_upload	rejected	not_plant	plant	-	0
20097	file_upload	rejected	not_plant	plant	-	0
20099	file_upload	rejected	not_plant	plant	-	0
20100	file_upload	rejected	not_plant	plant	-	0
20101	file_upload	rejected	not_plant	plant	-	0
20102	file_upload	rejected	not_plant	plant	-	0
20106	file_upload	rejected	not_plant	plant	-	0
20107	file_upload	rejected	not_plant	plant	-	0
20108	file_upload	rejected	not_plant	plant	-	0
20109	file_upload	rejected	not_plant	plant	-	0
20110	file_upload	rejected	not_plant	plant	-	0
20111	file_upload	rejected	not_plant	plant	-	0
20112	file_upload	rejected	not_plant	plant	-	0
20113	file_upload	rejected	not_plant	plant	-	0
20114	file_upload	rejected	not_plant	plant	-	0
20115	file_upload	rejected	not_plant	plant	-	0
20116	file_upload	rejected	not_plant	plant	-	0
20117	file_upload	rejected	not_plant	plant	-	0
20118	file_upload	rejected	not_plant	plant	-	0
20119	file_upload	rejected	not_plant	plant	-	0
20120	file_upload	rejected	not_plant	plant	-	0
20121	file_upload	rejected	not_plant	plant	-	0
20122	file_upload	rejected	not_plant	plant	-	0
20123	file_upload	rejected	not_plant	plant	-	0
20124	file_upload	rejected	not_plant	plant	-	0
20126	file_upload	rejected	not_plant	plant	-	0
20127	file_upload	rejected	not_plant	plant	-	0
20128	file_upload	rejected	not_plant	plant	-	0
20129	file_upload	rejected	not_plant	plant	-	0
20130	file_upload	rejected	not_plant	plant	-	0
20131	file_upload	rejected	not_plant	plant	-	0
20132	file_upload	rejected	not_plant	plant	-	0
20133	file_upload	rejected	not_plant	plant	-	0
20134	file_upload	rejected	not_plant	plant	-	0
20135	file_upload	rejected	not_plant	plant	-	0
20136	file_upload	rejected	not_plant	plant	-	0
20137	file_upload	rejected	not_plant	plant	-	0
20138	file_upload	rejected	not_plant	plant	-	0
20139	file_upload	rejected	not_plant	plant	-	0
20140	file_upload	rejected	not_plant	plant	-	0
20141	file_upload	rejected	not_plant	plant	-	0
20142	file_upload	rejected	not_plant	plant	-	0
20143	file_upload	rejected	not_plant	plant	-	0
20146	file_upload	rejected	not_plant	plant	-	0
20147	file_upload	rejected	not_plant	plant	-	0
20148	file_upload	rejected	not_plant	plant	-	0
20149	file_upload	rejected	not_plant	plant	-	0
20150	file_upload	rejected	not_plant	plant	-	0
20151	file_upload	rejected	not_plant	plant	-	0
20152	file_upload	rejected	not_plant	plant	-	0
20153	file_upload	rejected	not_plant	plant	-	0
20154	file_upload	rejected	not_plant	plant	-	0
20155	file_upload	rejected	not_plant	plant	-	0
20156	file_upload	rejected	not_plant	plant	-	0
20157	file_upload	rejected	not_plant	plant	-	0
20158	file_upload	rejected	not_plant	plant	-	0
20159	file_upload	rejected	not_plant	plant	-	0
20160	file_upload	rejected	not_plant	plant	-	0
20161	file_upload	rejected	not_plant	plant	-	0
20162	file_upload	rejected	not_plant	plant	-	0
20163	file_upload	rejected	not_plant	plant	-	0
20164	file_upload	rejected	not_plant	plant	-	0
20165	file_upload	rejected	not_plant	plant	-	0
20166	file_upload	rejected	not_plant	plant	-	0
20167	file_upload	rejected	not_plant	plant	-	0
20168	file_upload	rejected	not_plant	plant	-	0
20169	file_upload	rejected	not_plant	plant	-	0
20170	file_upload	rejected	not_plant	plant	-	0
20171	file_upload	rejected	not_plant	plant	-	0
20172	file_upload	rejected	not_plant	plant	-	0
20173	file_upload	rejected	not_plant	plant	-	0
20175	file_upload	rejected	not_plant	plant	-	0
20176	file_upload	rejected	not_plant	plant	-	0
20177	file_upload	rejected	not_plant	plant	-	0
20178	file_upload	rejected	not_plant	plant	-	0
20179	file_upload	rejected	not_plant	plant	-	0
20182	file_upload	rejected	not_plant	plant	-	0
20183	file_upload	rejected	not_plant	plant	-	0
20184	file_upload	rejected	not_plant	plant	-	0
20185	file_upload	rejected	not_plant	plant	-	0
20186	file_upload	rejected	not_plant	plant	-	0
20187	file_upload	rejected	not_plant	plant	-	0
20188	file_upload	rejected	not_plant	plant	-	0
20189	file_upload	rejected	not_plant	plant	-	0
20190	file_upload	rejected	not_plant	plant	-	0
20191	file_upload	rejected	not_plant	plant	-	0
20192	file_upload	rejected	not_plant	plant	-	0
20193	file_upload	rejected	not_plant	plant	-	0
20194	file_upload	rejected	not_plant	plant	-	0
20196	file_upload	rejected	not_plant	plant	-	0
20198	file_upload	rejected	not_plant	plant	-	0
20199	file_upload	rejected	not_plant	plant	-	0
20201	file_upload	rejected	not_plant	plant	-	0
20202	file_upload	rejected	not_plant	plant	-	0
20203	file_upload	rejected	below_threshold	plant	-	0
20204	file_upload	rejected	not_plant	plant	-	0
20206	file_upload	rejected	not_plant	plant	-	0
20207	file_upload	rejected	not_plant	plant	-	0
20208	file_upload	rejected	not_plant	plant	-	0
20209	file_upload	rejected	not_plant	plant	-	0
20210	file_upload	rejected	not_plant	plant	-	0
20211	file_upload	rejected	not_plant	plant	-	0
20212	file_upload	rejected	not_plant	plant	-	0
20213	file_upload	rejected	not_plant	plant	-	0
20214	file_upload	rejected	not_plant	plant	-	0
20215	file_upload	rejected	not_plant	plant	-	0
20216	file_upload	rejected	not_plant	plant	-	0
20217	file_upload	rejected	not_plant	plant	-	0
20218	file_upload	rejected	not_plant	plant	-	0
20219	file_upload	rejected	not_plant	plant	-	0
20220	file_upload	rejected	not_plant	plant	-	0
20221	file_upload	rejected	not_plant	plant	-	0
20222	file_upload	rejected	not_plant	plant	-	0
20223	file_upload	rejected	identified	plant	-	0
20224	file_upload	rejected	not_plant	plant	-	0
20226	file_upload	rejected	not_plant	plant	-	0
20235	file_upload	rejected	not_plant	plant	-	0
20236	file_upload	rejected	not_plant	plant	-	0
20237	file_upload	rejected	not_plant	plant	-	0
20240	file_upload	rejected	not_plant	plant	-	0
20241	file_upload	rejected	not_plant	plant	-	0
20242	file_upload	rejected	not_plant	plant	-	0
20243	file_upload	rejected	not_plant	plant	-	0
20244	file_upload	rejected	not_plant	plant	-	0
20245	file_upload	rejected	not_plant	plant	-	0
20246	file_upload	rejected	not_plant	plant	-	0
20247	file_upload	rejected	not_plant	plant	-	0
20248	file_upload	rejected	not_plant	plant	-	0
20249	file_upload	rejected	not_plant	plant	-	0
20250	file_upload	rejected	not_plant	plant	-	0
20251	file_upload	rejected	not_plant	plant	-	0
20252	file_upload	rejected	not_plant	plant	-	0
20253	file_upload	rejected	not_plant	plant	-	0
20255	file_upload	rejected	not_plant	plant	-	0
20258	file_upload	rejected	not_plant	plant	-	0
20259	file_upload	rejected	not_plant	plant	-	0
20260	file_upload	rejected	not_plant	plant	-	0
20261	file_upload	rejected	not_plant	plant	-	0
20262	file_upload	rejected	not_plant	plant	-	0
20265	file_upload	rejected	not_plant	plant	-	0
20266	file_upload	rejected	not_plant	plant	-	0
20267	file_upload	rejected	not_plant	plant	-	0
20268	file_upload	rejected	not_plant	plant	-	0
20270	file_upload	rejected	not_plant	plant	-	0
20271	file_upload	rejected	not_plant	plant	-	0
20272	file_upload	rejected	not_plant	plant	-	0
20274	file_upload	rejected	not_plant	plant	-	0
20275	file_upload	rejected	not_plant	plant	-	0
20276	file_upload	rejected	not_plant	plant	-	0
20277	file_upload	rejected	not_plant	plant	-	0
20280	file_upload	rejected	not_plant	plant	-	0
20282	file_upload	rejected	below_threshold	plant	-	0
20283	file_upload	rejected	not_plant	plant	-	0
20286	file_upload	rejected	not_plant	plant	-	0
20287	file_upload	rejected	not_plant	plant	-	0
20288	file_upload	rejected	not_plant	plant	-	0
20290	file_upload	rejected	not_plant	plant	-	0
20291	file_upload	rejected	not_plant	plant	-	0
20293	file_upload	rejected	identified	plant	Verbascum densiflorum	0
20294	file_upload	rejected	not_plant	plant	-	0
20295	file_upload	rejected	not_plant	plant	-	0
20296	file_upload	rejected	not_plant	plant	-	0
20297	file_upload	rejected	not_plant	plant	-	0
20298	file_upload	rejected	not_plant	plant	-	0
20299	file_upload	rejected	not_plant	plant	-	0
20300	file_upload	rejected	not_plant	plant	-	0
20301	file_upload	rejected	not_plant	plant	-	0
20302	file_upload	rejected	not_plant	plant	-	0
20303	file_upload	rejected	not_plant	plant	-	0
20304	file_upload	rejected	not_plant	plant	-	0
20305	file_upload	rejected	not_plant	plant	-	0
20306	file_upload	rejected	not_plant	plant	-	0
20309	file_upload	rejected	below_threshold	plant	-	0
20311	file_upload	rejected	not_plant	plant	-	0
20312	file_upload	rejected	not_plant	plant	-	0
20313	file_upload	rejected	not_plant	plant	-	0
20314	file_upload	rejected	not_plant	plant	-	0
20315	file_upload	rejected	not_plant	plant	-	0
20316	file_upload	rejected	not_plant	plant	-	0
20317	file_upload	rejected	not_plant	plant	-	0
20318	file_upload	rejected	not_plant	plant	-	0
20319	file_upload	rejected	not_plant	plant	-	0
20320	file_upload	rejected	not_plant	plant	-	0
20321	file_upload	rejected	not_plant	plant	-	0
20322	file_upload	rejected	not_plant	plant	-	0
20323	file_upload	rejected	not_plant	plant	-	0
20324	file_upload	rejected	not_plant	plant	-	0
20325	file_upload	rejected	not_plant	plant	-	0
20326	file_upload	rejected	not_plant	plant	-	0
20327	file_upload	rejected	not_plant	plant	-	0
20328	file_upload	rejected	not_plant	plant	-	0
20329	file_upload	rejected	not_plant	plant	-	0
20330	file_upload	rejected	not_plant	plant	-	0
20331	file_upload	rejected	not_plant	plant	-	0
20332	file_upload	rejected	not_plant	plant	-	0
20333	file_upload	rejected	not_plant	plant	-	0
20334	file_upload	rejected	not_plant	plant	-	0
20335	file_upload	rejected	not_plant	plant	-	0
20336	file_upload	rejected	not_plant	plant	-	0
20337	file_upload	rejected	not_plant	plant	-	0
20339	file_upload	rejected	not_plant	plant	-	0
20340	file_upload	rejected	not_plant	plant	-	0
20341	file_upload	rejected	not_plant	plant	-	0
20342	file_upload	rejected	not_plant	plant	-	0
20343	file_upload	rejected	not_plant	plant	-	0
20344	file_upload	rejected	not_plant	plant	-	0
20345	file_upload	rejected	not_plant	plant	-	0
20346	file_upload	rejected	not_plant	plant	-	0
20348	file_upload	rejected	not_plant	plant	-	0
20349	file_upload	rejected	not_plant	plant	-	0
20350	file_upload	rejected	not_plant	plant	-	0
20351	file_upload	rejected	not_plant	plant	-	0
20352	file_upload	rejected	not_plant	plant	-	0
20353	file_upload	rejected	not_plant	plant	-	0
20354	file_upload	rejected	not_plant	plant	-	0
20355	file_upload	rejected	not_plant	plant	-	0
20356	file_upload	rejected	not_plant	plant	-	0
20357	file_upload	rejected	not_plant	plant	-	0
20358	file_upload	rejected	not_plant	plant	-	0
20359	file_upload	rejected	not_plant	plant	-	0
20360	file_upload	rejected	not_plant	plant	-	0
20362	file_upload	rejected	not_plant	plant	-	0
20363	file_upload	rejected	not_plant	plant	-	0
20364	file_upload	rejected	not_plant	plant	-	0
20365	file_upload	rejected	not_plant	plant	-	0
